"COUNTY","FullAddress","Month","Day","Year","Longitude","Latitude"
"LE SUEUR ","321 RICE S ST , KASOTA , MN",1,20,2004,-93.9649866,44.2875198
"LE SUEUR ","1 KOSSUTH ST , KASOTA , MN",2,19,2004,-93.9649352,44.2963377
"LE SUEUR ","700 WEBSTER N , KASOTA , MN",2,19,2004,-93.966365,44.2949857
"LE SUEUR ","509 NORTH SECOND #209 STREET , LE SUEUR , MN",5,9,2007,-111.7780826,43.8356618
"LINCOLN ","1540 240TH AVENUE , TYLER , MN",12,15,2007,-96.1796209,44.2406203
"LYON ","2167 260TH ST , MARSHALL , MN",9,13,2005,-95.855892,44.426228
"MARSHALL ","46378 230TH STREET , ALVARADO , MN",9,19,2008,-97.0505956,48.2096781
"MILLE LACS ","34417 HWY 47 , ISLE , MN",12,27,2004,-93.4995885,46.2122459
"MILLE LACS ","6655 FALCON RD , MILACA , MN",6,25,2004,-93.5493666,45.7261078
"MORRISON ","1010 1ST SW AVE , LITTLE FALLS , MN",8,15,2005,-94.3845133,45.9759018
"MOWER ","702 4TH NW ST , AUSTIN , MN",3,12,2004,-92.9796794,43.6717041
"NOBLES ","11 EAST 2ND STREET , DUNDEE , MN",11,29,2007,-95.4660824,43.8449418
"OLMSTED ","1197 NORTHWEST 115TH STREET , ORONOCO , MN",9,11,2008,-92.479284,44.1661689
"OLMSTED ","3873 WILLOW RIDGE SW DR , ROCHESTER , MN",12,28,2004,-92.4689581,43.9687832
"OLMSTED ","1230 BROADWAY S 324 , ROCHESTER , MN",12,29,2004,-92.4617728,44.0053594
"OLMSTED ","322 NORTHWEST 36TH AVENUE , ROCHESTER , MN",3,25,2005,-92.517371,44.027257
"OLMSTED ","1119 SOUTHWEST 7 AVENUE , ROCHESTER , MN",6,5,2007,-92.472834,44.008277
"OLMSTED ","805 NORTHWEST 4 AVENUE , ROCHESTER , MN",6,5,2007,-92.468566,44.0316789
"OTTER TAIL ","37551 395TH ST , DENT , MN",3,1,2005,-95.7090627,46.5340304
"OTTER TAIL ","36599 STATE HWY 78 , OTTERTAIL , MN",9,2,2004,-95.5753178,46.4926358
"OTTER TAIL ","35777 RUSH LAKE LP , OTTERTAIL , MN",10,6,2004,-95.5735226,46.4801421
"OTTER TAIL ","325 3RD NE AVE , PERHAM , MN",8,4,2004,-95.568056,46.5950824
"PIPESTONE ","508 NORTHEAST 2ND AVENUE , PIPESTONE , MN",10,6,2004,-96.3164199,44.0051419
"PIPESTONE ","905 SOUTHWEST 6TH STREET , PIPESTONE , MN",10,7,2004,-96.3303131,43.99525
"PIPESTONE ","519 SOUTHEAST 7TH AVENUE , PIPESTONE , MN",2,13,2008,-96.3115481,43.9940098
"PIPESTONE ","32 131ST ST , WOODSTOCK , MN",1,25,2005,-96.0580758,44.0372207
"POLK ","21809 450 SW ST , BELTRAMI , MN",2,10,2005,-96.4235353,47.5428931
"POLK ","701 MINNESOTA S , CROOKSTON , MN",10,13,2004,-96.6181242,47.7693499
"POLK ","708 3RD NE AVE 8 , CROOKSTON , MN",12,3,2004,-96.590585,47.781315
"POLK ","20 GARDEN COURT NW , EAST GRAND FORKS , MN",3,3,2005,-97.0275359,47.9436412
"POLK ","19066 UNION DR , ERSKINE , MN",3,20,2005,-96.0654335,47.6001173
"POPE ","309 3RD SE ST , GLENWOOD , MN",3,14,2005,-95.3853045,45.6475368
"RENVILLE ","305 MAPLE E ST , SACRED HEART , MN",9,3,2005,-95.3482239,44.7868886
"SHERBURNE ","3110 NORTHWEST LAKE RIDGE DR , BIG LAKE , MN",8,4,2006,-93.7646232,45.3501065
"SHERBURNE ","7072 100TH SE AVE , CLEAR LAKE , MN",8,19,2004,-93.9541327,45.466936
"SHERBURNE ","13495 COUNTY 3 RD , CLEAR LAKE , MN",2,25,2005,-93.8825,45.537692
"SHERBURNE ","204 LOWELL AVE , ELK RIVER , MN",2,18,2004,-93.5703198,45.3035636
"SHERBURNE ","18034 QUEEN NW , ELK RIVER , MN",1,20,2005,-93.618558,45.297314
"ST. Louis ","3425 4TH W AVE , HIBBING , MN",3,12,2004,-92.9461339,47.4099604
"STEARNS ","35063 COUNTY ROAD 155 , AVON , MN",1,27,2005,-94.4269842,45.6291058
"STEELE ","337 STATE AVENUE , OWATONNA , MN",7,21,2006,-93.2362753,44.0872693
"STEELE ","569 EAST ROSE STREET , OWATONNA , MN",4,11,2007,-93.2143042,44.0878987
"TRAVERSE ","1605 1ST N AVE , WHEATON , MN",10,3,2005,-96.5068149,45.8054384
"VAN BUREN ","38620 30TH ST , PAW PAW , MN",12,22,2005,-85.8436394,42.279028
"WASECA ","820 5TH SW ST , WASECA , MN",7,21,2005,-93.5136168,44.071361
"WASHINGTON ","4964 NORTH EMMIT DRIVE , HUGO , MN",5,16,2007,-93.0047699,45.174355
"WASHINGTON ","3151 LAKE ELMO AVE , LAKE ELMO , MN",3,12,2004,-92.878973,44.994576
"WASHINGTON ","12  IVY LANE , LANDFALL , MN",1,8,2015,-92.9745538,44.9514411
"WRIGHT ","212 4TH S AVE , BUFFALO , MN",3,22,2004,-93.87057,45.168894
"WRIGHT ","300 LIME ST , CLEARWATER , MN",11,3,2004,-94.052053,45.420058
"WRIGHT ","15007 COUNTY ROAD 75 NW , CLEARWATER , MN",1,2,2005,-93.970325,45.368778
"WRIGHT ","30 PORTER CIRCLE , CLEARWATER , MN",8,17,2006,-94.045558,45.413137
"WRIGHT ","11948 NORTHEAST AETNA AVENUE , MONTICELLO , MN",8,25,2004,-93.87991,45.325169
"WRIGHT ","8560 PARELL NE AVE , OTSEGO , MN",10,1,2004,-93.571365,45.2748
"WRIGHT ","14016 42ND NE ST , SAINT MICHAEL , MN",6,16,2004,-93.6038358,45.2151925
