"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ESSEX ","22  LINWOOD PLACE , AMESBURY , MA","MA",10,8,2014,-70.930519,42.859823
"ESSEX ","18 TAYLOR ST , GLOUCESTER , MA","MA",2,3,2004,-70.655984,42.617291
"ESSEX ","8 NASH TERRACE , LYNN , MA","MA",8,7,2006,-70.972048,42.4641385
"MIDDLESEX ","56 GROTON RD , CHELMSFORD , MA","MA",6,11,2005,-71.3883333,42.638734
"MIDDLESEX ","70 HOWE STREET , FRAMINGHAM , MA","MA",8,8,2007,-71.40369,42.288841
"MIDDLESEX ","800 BROADWAY 7 , LOWELL , MA","MA",8,4,2005,-71.332254,42.6421033
"WEBSTER ","278 SMITHVILLE RD , SPRINGHILL , MA","MA",5,10,2005,-71.3824374,42.4072107
"WORCESTER ","148  HAMILTON STREET BOX , SOUTHBRIDGE , MA","MA",2,4,2015,-72.0333905,42.0751065
