"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"BALTIMORE ","10600  DAVIS AVENUE  , WOODSTOCK , MD","MD",1,11,2010,-76.852225,39.332158
"CAROLINE ","25595 GAREY RD , DENTON , MD","MD",2,5,2005,-75.815433,38.917654
"CARROLL ","1206 LOCKSLEY DRIVE , MOUNT AIRY , MD","MD",9,12,2008,-77.128769,39.375383
"CECIL ","36 ST. MICHAELS LN , ELKTON , MD","MD",5,10,2005,-75.8741512,39.604119
"GARRETT ","643 NEWTON SAVAGE RD , FRIENDSVILLE , MD","MD",5,11,2004,-79.4769626,39.614976
"ST. MARY'S ","23195 EAST TWO CREEK  , LEXINGTON PARK , MD","MD",9,2,2010,-76.4657719,38.3399306
"WASHINGTON ","118  SUNDOWN COURT BOX 1D , HAGERSTOWN , MD","MD",6,20,2015,-77.7199932,39.6417629
